38,648
38,3355
38,4253
38,7501
40,1567
40,2832
40,2919
40,3829
40,4303
40,6906
45,869
45,2499
45,2509
45,2683
45,3273
45,3324
45,4574
45,6270
45,6906
46,6082
49,840
49,1254
49,1257
49,2683
49,2847
49,4593
49,4836
49,5180
49,6270
49,6335
52,2427
52,3869
52,5068
52,6906
53,63
53,170
53,332
53,335
53,1093
53,1591
53,1910
53,2499
53,2662
53,5408
53,5825
53,6906
53,7642
58,269
58,437
58,451
58,836
58,1833
58,2379
58,3094
58,3113
58,3184
58,5319
58,6270
58,7557
59,840
59,2716
59,2758
59,3217
59,5006
59,5180
59,6085
59,6270
59,7213
62,553
62,1118
62,2786
62,2832
62,2857
62,4308
62,5006
62,5519
62,6335
63,590
63,893
63,1297
63,3184
63,3226
63,5006
63,5975
63,6270
63,6324
63,6926
63,7770
63,7801
66,739
66,1329
66,2007
66,2045
66,2066
66,3203
66,3783
66,4053
66,5010
66,6009
66,7946
70,63
70,815
70,869
70,1078
70,2499
70,4320
70,6270
70,7655
70,7887
70,7956
82,519
82,840
82,1833
82,2007
82,2512
82,2683
82,3184
82,4231
82,4574
82,4717
82,5006
82,5010
82,5185
82,5319
82,6270
82,6487
82,7049
82,7213
82,7655
84,811
84,2794
84,6273
84,7929
85,332
85,840
85,1107
85,2499
85,2683
85,4717
85,7469
91,761
91,790
91,1124
91,1257
91,1591
91,2810
91,2894
91,4231
91,4585
91,5106
91,6335
91,6923
91,7367
92,150
92,3723
92,4253
92,5038
92,6380
92,7642
93,638
93,1910
93,2758
93,3589
93,4863
93,5301
94,63
94,648
94,800
94,1824
94,2499
94,3099
94,4253
94,7449
100,840
100,1511
100,2499
100,2559
100,4717
100,4964
100,6795
100,6906
100,7449
100,7655
108,840
108,869
108,1168
108,1831
108,2499
108,2509
108,2683
108,4253
108,4284
108,6270
108,6473
108,6906
108,7655
109,280
109,840
109,1867
109,2909
109,3184
109,4110
109,4253
109,4288
109,5006
109,5185
109,6544
110,512
110,2794
110,6654
110,7655
112,756
112,840
112,1240
112,1257
112,2499
112,2683
112,3184
112,4155
112,4717
112,4836
112,4964
112,5010
112,5180
112,5185
112,5974
112,6270
113,63
113,332
113,335
113,1043
113,1093
113,3248
113,3723
113,5502
113,6270
113,7887
114,63
114,1254
114,1672
114,1833
114,2353
114,2461
114,3604
114,5180
114,5319
114,6061
114,6270
114,7033
114,7557
114,7655
120,63
120,332
120,335
120,1093
120,1511
120,1910
120,2499
120,4987
120,5903
120,6270
120,6906
120,7367
